"","Date","Price","Open","High","Low","Vol.","Change..","date","new_cases","new_deaths","location","new_vaccinations","new_tests","population","population_density","Price_mul30"
"264","Feb 22, 2021",6780.9,"6,793.80","6,824.80","6,774.30","653.24M","-0.19%",2021-02-22,7,0,"Australia",2769,36501,25788217,3.202,203427
"263","Feb 23, 2021",6839.2,"6,780.90","6,839.20","6,765.30","806.33M","0.86%",2021-02-23,2,0,"Australia",4125,43521,25788217,3.202,205176
"262","Feb 24, 2021",6777.8,"6,839.20","6,839.20","6,762.60","677.31M","-0.90%",2021-02-24,8,0,"Australia",9715,56776,25788217,3.202,203334
"261","Feb 25, 2021",6834,"6,777.80","6,857.30","6,777.80","806.72M","0.83%",2021-02-25,10,0,"Australia",6881,49940,25788217,3.202,205020
"260","Feb 26, 2021",6673.3,"6,834.00","6,834.00","6,658.90","1.03B","-2.35%",2021-02-26,8,0,"Australia",6490,47899,25788217,3.202,200199
"259","Mar 01, 2021",6789.6,"6,673.30","6,790.10","6,672.20","734.33M","1.74%",2021-03-01,8,0,"Australia",7277,24226,25788217,3.202,203688
"258","Mar 02, 2021",6762.3,"6,789.60","6,860.70","6,762.30","739.31M","-0.40%",2021-03-02,10,0,"Australia",9163,39974,25788217,3.202,202869
"257","Mar 03, 2021",6818,"6,762.30","6,818.80","6,762.30","591.22M","0.82%",2021-03-03,11,0,"Australia",9939,52921,25788217,3.202,204540
"256","Mar 04, 2021",6760.7,"6,818.00","6,818.00","6,709.00","737.49M","-0.84%",2021-03-04,14,0,"Australia",10858,49049,25788217,3.202,202821
"255","Mar 05, 2021",6710.8,"6,760.70","6,760.70","6,660.50","702.40M","-0.74%",2021-03-05,8,0,"Australia",5073,47635,25788217,3.202,201324
"254","Mar 08, 2021",6739.6,"6,710.80","6,835.60","6,710.80","609.64M","0.43%",2021-03-08,15,0,"Australia",8539,35146,25788217,3.202,202188
"253","Mar 09, 2021",6771.2,"6,739.60","6,810.00","6,739.60","733.62M","0.47%",2021-03-09,13,0,"Australia",13420,27603,25788217,3.202,203136
"252","Mar 10, 2021",6714.1,"6,771.20","6,806.50","6,714.10","619.77M","-0.84%",2021-03-10,16,0,"Australia",16672,47309,25788217,3.202,201423
"251","Mar 11, 2021",6713.9,"6,714.10","6,756.70","6,648.60","665.89M","-0.00%",2021-03-11,12,0,"Australia",10109,51011,25788217,3.202,201417
"250","Mar 12, 2021",6766.8,"6,713.90","6,783.00","6,713.90","468.30M","0.79%",2021-03-12,10,0,"Australia",24185,45015,25788217,3.202,203004
"249","Mar 15, 2021",6773,"6,766.80","6,793.50","6,727.50","484.55M","0.09%",2021-03-15,7,0,"Australia",17656,32312,25788217,3.202,203190
"248","Mar 16, 2021",6827.1,"6,773.00","6,858.90","6,767.80","587.15M","0.80%",2021-03-16,17,0,"Australia",21120,33843,25788217,3.202,204813
"247","Mar 17, 2021",6795.2,"6,827.10","6,827.10","6,761.40","603.82M","-0.47%",2021-03-17,12,0,"Australia",22500,54260,25788217,3.202,203856
"246","Mar 18, 2021",6745.9,"6,795.20","6,806.20","6,744.50","715.60M","-0.73%",2021-03-18,17,0,"Australia",14697,50496,25788217,3.202,202377
"245","Mar 19, 2021",6708.2,"6,745.90","6,745.90","6,673.70","1.25B","-0.56%",2021-03-19,9,0,"Australia",13077,44082,25788217,3.202,201246
"244","Mar 22, 2021",6752.5,"6,708.20","6,763.40","6,688.20","472.04M","0.66%",2021-03-22,5,0,"Australia",30542,30548,25788217,3.202,202575
"243","Mar 23, 2021",6745.4,"6,752.50","6,786.20","6,741.30","518.77M","-0.11%",2021-03-23,10,0,"Australia",46000,29572,25788217,3.202,202362
"242","Mar 24, 2021",6778.8,"6,745.40","6,799.10","6,735.60","503.00M","0.50%",2021-03-24,9,0,"Australia",49908,47726,25788217,3.202,203364
"241","Mar 25, 2021",6790.6,"6,778.80","6,806.00","6,769.90","558.91M","0.17%",2021-03-25,9,0,"Australia",51745,39005,25788217,3.202,203718
"240","Mar 26, 2021",6824.2,"6,790.60","6,835.00","6,790.60","571.46M","0.49%",2021-03-26,13,0,"Australia",46310,38818,25788217,3.202,204726
"239","Mar 29, 2021",6799.5,"6,824.20","6,860.60","6,794.10","502.07M","-0.36%",2021-03-29,20,0,"Australia",55764,45086,25788217,3.202,203985
"238","Mar 30, 2021",6738.4,"6,799.50","6,836.30","6,738.40","513.84M","-0.90%",2021-03-30,8,0,"Australia",72826,44989,25788217,3.202,202152
"237","Mar 31, 2021",6790.7,"6,738.40","6,862.60","6,738.40","717.60M","0.78%",2021-03-31,18,0,"Australia",73979,84676,25788217,3.202,203721
"236","Apr 01, 2021",6828.7,"6,790.70","6,830.40","6,783.30","473.19M","0.56%",2021-04-01,11,0,"Australia",79283,85667,25788217,3.202,204861
"235","Apr 06, 2021",6885.9,"6,828.70","6,915.70","6,828.70","517.51M","0.84%",2021-04-06,14,0,"Australia",65351,28581,25788217,3.202,206577
"234","Apr 07, 2021",6928,"6,885.90","6,933.90","6,885.90","612.67M","0.61%",2021-04-07,6,0,"Australia",75880,32561,25788217,3.202,207840
"233","Apr 08, 2021",6998.8,"6,928.00","7,012.40","6,928.00","544.99M","1.02%",2021-04-08,5,0,"Australia",81297,44549,25788217,3.202,209964
"232","Apr 09, 2021",6995.2,"6,998.80","6,998.80","6,965.50","425.91M","-0.05%",2021-04-09,6,0,"Australia",61355,50988,25788217,3.202,209856
"231","Apr 12, 2021",6974,"6,996.70","6,996.70","6,957.40","405.10M","-0.30%",2021-04-12,10,1,"Australia",56379,32317,25788217,3.202,209220
"230","Apr 13, 2021",6976.9,"6,974.00","6,998.00","6,962.90","507.31M","0.04%",2021-04-13,21,0,"Australia",60991,28512,25788217,3.202,209307
"229","Apr 14, 2021",7023.1,"6,976.90","7,027.40","6,976.90","576.45M","0.66%",2021-04-14,19,0,"Australia",63633,45793,25788217,3.202,210693
"228","Apr 15, 2021",7058.6,"7,023.10","7,071.50","6,988.60","686.79M","0.51%",2021-04-15,15,0,"Australia",61272,44406,25788217,3.202,211758
"227","Apr 16, 2021",7063.5,"7,058.60","7,066.40","7,030.10","627.01M","0.07%",2021-04-16,15,0,"Australia",53981,39152,25788217,3.202,211905
"226","Apr 19, 2021",7065.6,"7,063.50","7,094.80","7,063.50","473.52M","0.03%",2021-04-19,23,0,"Australia",66730,28648,25788217,3.202,211968
"225","Apr 20, 2021",7017.8,"7,065.60","7,067.20","7,008.80","554.64M","-0.68%",2021-04-20,20,0,"Australia",64821,27878,25788217,3.202,210534
"224","Apr 21, 2021",6997.5,"7,017.80","7,017.80","6,905.40","689.08M","-0.29%",2021-04-21,18,0,"Australia",67591,37749,25788217,3.202,209925
"223","Apr 22, 2021",7055.4,"6,997.50","7,055.40","6,993.70","663.98M","0.83%",2021-04-22,44,0,"Australia",69903,37186,25788217,3.202,211662
"222","Apr 23, 2021",7060.7,"7,055.40","7,060.70","7,036.80","485.41M","0.08%",2021-04-23,15,0,"Australia",58446,33457,25788217,3.202,211821
"221","Apr 26, 2021",7045.6,"7,060.70","7,075.20","7,045.60","427.51M","-0.21%",2021-04-26,37,0,"Australia",31852,40627,25788217,3.202,211368
"220","Apr 27, 2021",7033.8,"7,045.60","7,053.30","7,005.90","596.35M","-0.17%",2021-04-27,33,0,"Australia",60207,42490,25788217,3.202,211014
"219","Apr 28, 2021",7064.7,"7,033.80","7,077.50","7,028.60","620.72M","0.44%",2021-04-28,23,0,"Australia",82741,59461,25788217,3.202,211941
"218","Apr 29, 2021",7082.3,"7,064.70","7,096.90","7,064.70","634.86M","0.25%",2021-04-29,25,0,"Australia",67259,50422,25788217,3.202,212469
"217","Apr 30, 2021",7025.8,"7,082.30","7,082.30","7,012.80","615.51M","-0.80%",2021-04-30,13,0,"Australia",55300,44266,25788217,3.202,210774
"216","May 03, 2021",7028.8,"7,025.80","7,068.40","7,022.00","468.23M","0.04%",2021-05-03,12,0,"Australia",56354,28900,25788217,3.202,210864
"215","May 04, 2021",7067.9,"7,028.80","7,069.50","7,028.80","484.50M","0.56%",2021-05-04,15,0,"Australia",79345,30733,25788217,3.202,212037
"214","May 05, 2021",7095.8,"7,067.90","7,122.00","7,054.00","510.16M","0.39%",2021-05-05,19,0,"Australia",77215,53237,25788217,3.202,212874
"213","May 06, 2021",7061.7,"7,095.80","7,112.50","7,042.70","625.15M","-0.48%",2021-05-06,9,0,"Australia",81002,49746,25788217,3.202,211851
"212","May 07, 2021",7080.8,"7,061.70","7,101.20","7,054.10","532.25M","0.27%",2021-05-07,13,0,"Australia",73194,48969,25788217,3.202,212424
"211","May 10, 2021",7172.8,"7,080.80","7,172.80","7,076.10","588.42M","1.30%",2021-05-10,7,0,"Australia",72886,36799,25788217,3.202,215184
"210","May 11, 2021",7097,"7,172.80","7,172.80","7,078.00","558.92M","-1.06%",2021-05-11,8,0,"Australia",76379,35191,25788217,3.202,212910
"209","May 12, 2021",7044.9,"7,097.00","7,097.00","7,006.60","644.65M","-0.73%",2021-05-12,9,0,"Australia",82284,61475,25788217,3.202,211347
"208","May 13, 2021",6982.7,"7,044.90","7,044.90","6,966.50","617.00M","-0.88%",2021-05-13,2,0,"Australia",85874,55232,25788217,3.202,209481
"207","May 14, 2021",7014.2,"6,982.70","7,055.70","6,982.70","520.96M","0.45%",2021-05-14,7,0,"Australia",76153,54093,25788217,3.202,210426
"206","May 17, 2021",7023.6,"7,014.20","7,065.70","7,014.20","453.25M","0.13%",2021-05-17,5,0,"Australia",83187,36132,25788217,3.202,210708
"205","May 18, 2021",7066,"7,023.60","7,083.60","7,023.60","524.94M","0.60%",2021-05-18,9,0,"Australia",95530,39354,25788217,3.202,211980
"204","May 19, 2021",6931.7,"7,066.00","7,066.00","6,917.30","702.25M","-1.90%",2021-05-19,3,0,"Australia",92874,58524,25788217,3.202,207951
"203","May 20, 2021",7019.6,"6,931.70","7,025.40","6,919.40","664.42M","1.27%",2021-05-20,4,0,"Australia",101146,55335,25788217,3.202,210588
"202","May 25, 2021",7115.2,"7,045.90","7,115.20","7,045.90","483.42M","0.98%",2021-05-25,17,0,"Australia",104658,35564,25788217,3.202,213456
"201","May 26, 2021",7092.5,"7,115.20","7,136.40","7,090.10","517.99M","-0.32%",2021-05-26,17,0,"Australia",111388,61494,25788217,3.202,212775
"200","May 27, 2021",7094.9,"7,092.50","7,118.90","7,082.40","1.40B","0.03%",2021-05-27,11,0,"Australia",124871,81048,25788217,3.202,212847
"199","May 28, 2021",7179.5,"7,094.90","7,186.80","7,094.90","606.89M","1.19%",2021-05-28,9,0,"Australia",121610,95647,25788217,3.202,215385
"198","May 31, 2021",7161.6,"7,179.50","7,203.30","7,157.20","499.77M","-0.25%",2021-05-31,13,0,"Australia",119139,76663,25788217,3.202,214848
"197","Jun 01, 2021",7142.6,"7,161.60","7,163.00","7,117.50","414.77M","-0.27%",2021-06-01,6,0,"Australia",138705,68241,25788217,3.202,214278
"196","Jun 02, 2021",7217.8,"7,142.60","7,218.90","7,142.60","574.83M","1.05%",2021-06-02,13,0,"Australia",141259,93405,25788217,3.202,216534
"195","Jun 03, 2021",7260.1,"7,217.80","7,281.80","7,217.80","592.84M","0.59%",2021-06-03,4,0,"Australia",143659,96003,25788217,3.202,217803
"194","Jun 04, 2021",7295.4,"7,260.10","7,300.50","7,244.30","645.70M","0.49%",2021-06-04,16,0,"Australia",141245,89027,25788217,3.202,218862
"193","Jun 07, 2021",7281.9,"7,295.40","7,309.40","7,269.40","471.21M","-0.19%",2021-06-07,14,0,"Australia",127564,89000,25788217,3.202,218457
"192","Jun 08, 2021",7292.6,"7,281.90","7,315.60","7,267.60","504.73M","0.15%",2021-06-08,5,0,"Australia",140885,54037,25788217,3.202,218778
"191","Jun 09, 2021",7270.2,"7,292.60","7,334.90","7,270.20","567.09M","-0.31%",2021-06-09,15,0,"Australia",142808,73284,25788217,3.202,218106
"190","Jun 10, 2021",7302.5,"7,270.20","7,314.60","7,265.60","630.69M","0.44%",2021-06-10,3,0,"Australia",153338,67478,25788217,3.202,219075
"189","Jun 15, 2021",7379.5,"7,312.30","7,398.60","7,312.30","613.74M","0.92%",2021-06-15,13,0,"Australia",152075,42936,25788217,3.202,221385
"188","Jun 16, 2021",7386.2,"7,379.50","7,406.20","7,372.40","663.03M","0.09%",2021-06-16,15,0,"Australia",136010,47437,25788217,3.202,221586
"187","Jun 17, 2021",7359,"7,386.20","7,386.20","7,341.90","772.07M","-0.37%",2021-06-17,8,0,"Australia",141336,70468,25788217,3.202,220770
"186","Jun 18, 2021",7368.9,"7,359.00","7,403.20","7,334.90","1.23B","0.13%",2021-06-18,13,0,"Australia",130810,75644,25788217,3.202,221067
"185","Jun 21, 2021",7235.3,"7,368.90","7,368.90","7,216.60","607.37M","-1.81%",2021-06-21,11,0,"Australia",128643,60188,25788217,3.202,217059
"184","Jun 22, 2021",7342.2,"7,235.30","7,365.90","7,235.30","761.07M","1.48%",2021-06-22,14,0,"Australia",140892,59835,25788217,3.202,220266
"183","Jun 23, 2021",7298.5,"7,342.20","7,344.00","7,292.90","587.63M","-0.60%",2021-06-23,24,0,"Australia",138922,96664,25788217,3.202,218955
"182","Jun 24, 2021",7275.3,"7,298.50","7,303.80","7,256.30","583.50M","-0.32%",2021-06-24,20,0,"Australia",138434,93522,25788217,3.202,218259
"181","Jun 25, 2021",7308,"7,275.30","7,325.60","7,275.30","589.93M","0.45%",2021-06-25,33,0,"Australia",119973,91915,25788217,3.202,219240
"180","Jun 28, 2021",7307.3,"7,308.00","7,310.60","7,273.70","515.55M","-0.01%",2021-06-28,32,0,"Australia",126034,100163,25788217,3.202,219219
"179","Jun 29, 2021",7301.2,"7,308.00","7,308.00","7,241.50","514.75M","-0.08%",2021-06-29,42,0,"Australia",144885,126945,25788217,3.202,219036
"178","Jun 30, 2021",7313,"7,301.20","7,370.10","7,301.20","675.23M","0.16%",2021-06-30,41,0,"Australia",96951,150302,25788217,3.202,219390
"177","Jul 01, 2021",7265.6,"7,313.00","7,317.20","7,265.60","573.31M","-0.65%",2021-07-01,41,0,"Australia",185318,155772,25788217,3.202,217968
"176","Jul 02, 2021",7308.6,"7,265.60","7,312.30","7,265.60","501.02M","0.59%",2021-07-02,50,0,"Australia",154817,162784,25788217,3.202,219258
"175","Jul 05, 2021",7315,"7,308.60","7,343.70","7,306.70","548.27M","0.09%",2021-07-05,27,0,"Australia",135044,116934,25788217,3.202,219450
"174","Jul 06, 2021",7261.8,"7,315.00","7,346.20","7,261.80","552.71M","-0.73%",2021-07-06,30,0,"Australia",159464,93563,25788217,3.202,217854
"173","Jul 07, 2021",7326.9,"7,261.80","7,332.40","7,255.50","706.86M","0.90%",2021-07-07,42,0,"Australia",149630,82037,25788217,3.202,219807
"172","Jul 08, 2021",7341.4,"7,326.90","7,381.90","7,326.90","573.96M","0.20%",2021-07-08,48,0,"Australia",156750,99235,25788217,3.202,220242
"171","Jul 09, 2021",7273.3,"7,341.40","7,341.40","7,226.00","621.91M","-0.93%",2021-07-09,64,0,"Australia",144830,98104,25788217,3.202,218199
"170","Jul 12, 2021",7333.5,"7,273.30","7,353.40","7,273.30","471.35M","0.83%",2021-07-12,102,1,"Australia",146118,130133,25788217,3.202,220005
"169","Jul 13, 2021",7332.1,"7,333.50","7,382.20","7,332.10","616.75M","-0.02%",2021-07-13,106,0,"Australia",168921,102796,25788217,3.202,219963
"168","Jul 14, 2021",7354.7,"7,332.10","7,368.50","7,326.50","561.31M","0.31%",2021-07-14,84,0,"Australia",170025,126082,25788217,3.202,220641
"167","Jul 15, 2021",7335.9,"7,354.70","7,365.70","7,322.90","643.69M","-0.26%",2021-07-15,113,0,"Australia",171692,113068,25788217,3.202,220077
"166","Jul 16, 2021",7348.1,"7,335.90","7,348.10","7,316.30","592.38M","0.17%",2021-07-16,145,1,"Australia",162759,140981,25788217,3.202,220443
"165","Jul 19, 2021",7286,"7,348.10","7,348.10","7,249.20","496.36M","-0.85%",2021-07-19,104,1,"Australia",167185,158808,25788217,3.202,218580
"164","Jul 20, 2021",7252.2,"7,286.00","7,286.00","7,205.00","644.64M","-0.46%",2021-07-20,146,0,"Australia",173432,137376,25788217,3.202,217566
"163","Jul 21, 2021",7308.7,"7,252.20","7,354.80","7,252.20","581.30M","0.78%",2021-07-21,160,0,"Australia",194940,180180,25788217,3.202,219261
"162","Jul 22, 2021",7386.4,"7,308.70","7,386.40","7,308.70","582.73M","1.06%",2021-07-22,156,1,"Australia",188180,174432,25788217,3.202,221592
"161","Jul 23, 2021",7394.4,"7,386.40","7,398.70","7,357.00","493.58M","0.11%",2021-07-23,171,0,"Australia",184359,179490,25788217,3.202,221832
"160","Jul 26, 2021",7394.3,"7,394.40","7,417.60","7,389.30","548.09M","-0.00%",2021-07-26,184,4,"Australia",179667,164158,25788217,3.202,221829
"159","Jul 28, 2021",7379.3,"7,431.40","7,432.40","7,368.30","585.95M","-0.70%",2021-07-28,253,2,"Australia",223220,168966,25788217,3.202,221379
"158","Jul 29, 2021",7417.4,"7,379.30","7,418.70","7,379.30","514.88M","0.52%",2021-07-29,183,0,"Australia",204939,204244,25788217,3.202,222522
"157","Jul 30, 2021",7392.6,"7,417.40","7,437.70","7,387.90","632.53M","-0.33%",2021-07-30,221,1,"Australia",210770,176053,25788217,3.202,221778
"156","Aug 02, 2021",7491.4,"7,415.90","7,506.30","7,414.90","576.29M","1.34%",2021-08-02,224,0,"Australia",189313,183370,25788217,3.202,224742
"155","Aug 03, 2021",7474.5,"7,491.40","7,495.90","7,455.50","623.33M","-0.23%",2021-08-03,253,2,"Australia",219092,180613,25788217,3.202,224235
"154","Aug 04, 2021",7503.2,"7,474.50","7,509.20","7,474.50","499.67M","0.38%",2021-08-04,302,5,"Australia",222697,205159,25788217,3.202,225096
"153","Aug 05, 2021",7511.1,"7,503.20","7,526.40","7,493.00","510.28M","0.11%",2021-08-05,307,1,"Australia",239906,202641,25788217,3.202,225333
"152","Aug 06, 2021",7538.4,"7,511.10","7,538.40","7,497.30","539.38M","0.36%",2021-08-06,353,6,"Australia",235991,207740,25788217,3.202,226152
"151","Aug 09, 2021",7538.4,"7,538.40","7,567.00","7,532.80","526.82M","0.00%",2021-08-09,380,4,"Australia",217785,216451,25788217,3.202,226152
"150","Aug 10, 2021",7562.6,"7,538.40","7,576.30","7,537.10","525.15M","0.32%",2021-08-10,367,2,"Australia",266264,160681,25788217,3.202,226878
"149","Aug 11, 2021",7584.3,"7,562.60","7,615.10","7,562.60","643.15M","0.29%",2021-08-11,372,2,"Australia",262964,205968,25788217,3.202,227529
"148","Aug 12, 2021",7588.2,"7,584.30","7,608.60","7,571.50","627.84M","0.05%",2021-08-12,416,2,"Australia",269793,243144,25788217,3.202,227646
"147","Aug 13, 2021",7628.9,"7,588.20","7,632.80","7,585.90","605.05M","0.54%",2021-08-13,493,4,"Australia",279022,217811,25788217,3.202,228867
"146","Aug 16, 2021",7582.5,"7,628.90","7,629.00","7,582.50","647.00M","-0.61%",2021-08-16,482,1,"Australia",278827,217648,25788217,3.202,227475
"145","Aug 17, 2021",7511,"7,582.50","7,582.50","7,494.40","559.15M","-0.94%",2021-08-17,677,3,"Australia",273299,212991,25788217,3.202,225330
"144","Aug 18, 2021",7502.1,"7,511.00","7,532.90","7,470.50","653.54M","-0.12%",2021-08-18,747,2,"Australia",308344,180161,25788217,3.202,225063
"143","Aug 19, 2021",7464.6,"7,502.10","7,502.10","7,429.20","747.63M","-0.50%",2021-08-19,707,4,"Australia",302685,206177,25788217,3.202,223938
"142","Aug 20, 2021",7460.9,"7,464.60","7,512.00","7,453.60","712.73M","-0.05%",2021-08-20,891,2,"Australia",309846,212663,25788217,3.202,223827
"141","Aug 23, 2021",7489.9,"7,460.90","7,496.30","7,460.90","622.95M","0.39%",2021-08-23,834,0,"Australia",289175,389580,25788217,3.202,224697
"140","Aug 24, 2021",7503,"7,489.90","7,524.40","7,489.90","685.47M","0.17%",2021-08-24,971,2,"Australia",306095,212116,25788217,3.202,225090
"139","Aug 25, 2021",7531.9,"7,503.00","7,542.40","7,503.00","710.52M","0.39%",2021-08-25,1115,3,"Australia",333993,238375,25788217,3.202,225957
"138","Aug 26, 2021",7491.2,"7,531.90","7,531.90","7,477.80","771.81M","-0.54%",2021-08-26,976,2,"Australia",306438,238317,25788217,3.202,224736
"137","Aug 27, 2021",7488.3,"7,491.20","7,494.50","7,465.00","756.50M","-0.04%",2021-08-27,1119,2,"Australia",315575,201823,25788217,3.202,224649
"136","Aug 30, 2021",7504.5,"7,488.30","7,528.30","7,476.00","648.07M","0.22%",2021-08-30,1257,3,"Australia",276585,219520,25788217,3.202,225135
"135","Aug 31, 2021",7534.9,"7,504.50","7,555.90","7,504.50","806.31M","0.41%",2021-08-31,1225,6,"Australia",333975,210646,25788217,3.202,226047
"134","Sep 01, 2021",7527.1,"7,534.90","7,534.90","7,462.20","618.48M","-0.10%",2021-09-01,1467,7,"Australia",329845,266169,25788217,3.202,225813
"133","Sep 02, 2021",7485.7,"7,527.10","7,527.10","7,437.20","631.41M","-0.55%",2021-09-02,1648,13,"Australia",300673,203243,25788217,3.202,224571
